NTAName,neighbourhood_group,listings,population0010,population1020
Oakwood-Oakwood Beach,Staten Island,5,111330,110245
Ocean Hill,Brooklyn,0,30067,31935
Ocean Parkway South,Brooklyn,0,20556,20299
Old Astoria,Queens,0,28847,27814
Old Town-Dongan Hills-South Beach,Staten Island,41,943697,1018235
Ozone Park,Queens,62,1305224,1325312
Park Slope-Gowanus,Brooklyn,753,50649039,50939697
park-cemetery-etc-Bronx,Bronx,0,540,1906
park-cemetery-etc-Brooklyn,Brooklyn,0,93,418
park-cemetery-etc-Manhattan,Manhattan,0,1662,1849
park-cemetery-etc-Queens,Queens,0,1785,436
park-cemetery-etc-Staten Island,Staten Island,0,7,0
Parkchester,Bronx,39,1144767,1163019
Pelham Bay-Country Club-City Island,Bronx,35,949900,930405
Pelham Parkway,Bronx,0,30006,30073
Pomonok-Flushing Heights-Hillcrest,Queens,0,31734,34034
Port Richmond,Staten Island,9,162378,181719
Prospect Heights,Brooklyn,357,7016835,7086093
Prospect Lefferts Gardens-Wingate,Brooklyn,535,37610500,36090565
Queens Village,Queens,60,3462240,3150240
Queensboro Hill,Queens,0,19309,20800
Queensbridge-Ravenswood-Long Island City,Queens,537,11332848,10756110
Rego Park,Queens,106,3116824,2995560
Richmond Hill,Queens,94,5920590,5920308
Ridgewood,Queens,423,29379465,29321091
Rikers Island,Bronx,0,12780,11091
Rosedale,Queens,59,1504618,1478717
Rossville-Woodrow,Staten Island,2,37788,41526
Rugby-Remsen Village,Brooklyn,0,57934,55326
Schuylerville-Throgs Neck-Edgewater Park,Bronx,37,1617344,1634179
Seagate-Coney Island,Brooklyn,24,822408,767160
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,186,12014856,12000348
SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,961,35323477,41075062
Soundview-Bruckner,Bronx,0,35137,35634
Soundview-Castle Hill-Clason Point-Harding Park,Bronx,45,2283885,2415870
South Jamaica,Queens,0,35181,38894
South Ozone Park,Queens,40,3156240,3035120
Springfield Gardens North,Queens,0,25441,25409
Springfield Gardens South-Brookville,Queens,85,1610750,1711220
Spuyten Duyvil-Kingsbridge,Bronx,74,2210528,2231914
St. Albans,Queens,76,3803496,3693068
Stapleton-Rosebank,Staten Island,34,817632,899402
Starrett City,Brooklyn,0,14621,13354
Steinway,Queens,0,53604,47534
Stuyvesant Heights,Brooklyn,0,61827,63504
Stuyvesant Town-Cooper Village,Manhattan,37,706737,778813
Sunset Park East,Brooklyn,284,18786600,20544560
Sunset Park West,Brooklyn,390,20401680,21075990
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Staten Island,11,338382,337854
Turtle Bay-East Midtown,Manhattan,2245,111659565,115013595
University Heights-Morris Heights,Bronx,44,2390740,2384272
Upper East Side-Carnegie Hill,Manhattan,1798,114467872,110050186
Upper West Side,Manhattan,1971,269936334,260917038
Van Cortlandt Village,Bronx,0,50607,50100
Van Nest-Morris Park-Westchester Square,Bronx,36,976860,1053000
Washington Heights North,Manhattan,0,73457,67136
Washington Heights South,Manhattan,899,84210229,75909762
West Brighton,Staten Island,18,312660,319500
West Concourse,Bronx,50,1977850,1964100
West Farms-Bronx River,Bronx,2,69084,70022
West New Brighton-New Brighton-St. George,Staten Island,72,2315088,2415672
West Village,Manhattan,1160,79440280,77580800
Westchester-Unionport,Bronx,7,180376,190736
Westerleigh,Staten Island,7,166530,168714
Whitestone,Queens,11,344916,338503
Williamsbridge-Olinville,Bronx,44,2526480,2698124
Williamsburg,Brooklyn,3920,126494480,129069920
Windsor Terrace,Brooklyn,157,3262303,3295116
Woodhaven,Queens,88,4765112,4987312
Woodlawn-Wakefield,Bronx,61,2658563,2591463
Woodside,Queens,235,10303810,10598265
Yorkville,Manhattan,0,76768,77942
